KO	123_baseline	127_baseline	233_baseline	257_baseline	257_follow.up	293_baseline	362_baseline	363_baseline	363_follow.up	369_baseline	372_baseline	392_baseline	393_baseline	407_baseline	407_follow.up	415_baseline	428_baseline	434_baseline	439_baseline	442_baseline	450_baseline	454_baseline	454_follow.up	457_baseline	490_baseline	490_follow.up	499_baseline	500_baseline	500_follow.up	505_baseline	510_baseline	510_follow.up	512_baseline	516_baseline	518_baseline	518_follow.up	520_baseline	526_baseline	1284_baseline	1289_baseline	1290_baseline	1292_baseline	1294_baseline	1296_baseline	1299_baseline	1303_baseline	1304_baseline	1306_baseline	1310_baseline	1314_baseline	1316_baseline	1318_baseline	1320_baseline	1322_baseline	1324_baseline	1326_baseline	1328_baseline	1334_baseline	1336_baseline	1338_baseline	1340_baseline	1342_baseline	1346_baseline	1348_baseline	1350_baseline	1356_baseline	1358_baseline
K03650	149532	178837	48179.4	224609	41738.5	3632.8	115177.5	327010.5	144904.5	381632.86541	3281450	359934.2987	9122.8	117998.65	8068.5	672169.9	51505.83	112992.5	24958.875	81782.6	363002.625	292018.1	476157.5	1905237.8	590302.9	106139	250607.5	135012	379040.8	26450.39	240012	892339	421577.875	590276	161166	4512.5	36902.625	281002.625	561899.88369	484124.19172	133063.9	148444.2	328110.67	377841.95	3075003	703063.75	165289.59361	133016.2	814598.75	7187410.5288	206751.75	175741.87	1602614.5	1256032.5	1217564	102005.25	576635.25	3571184.15	6947476.25	102963.87666	3660005.25	1294506.2	245821.5	2795891.5	1856101.5	335004.31	5358313.75
K03665	283722	764007	160089.4	224610.5	41739.415	3634.3	246327.5	327012	144915.9	381638.86541	3732450	622142.7987	138492.8	268298.65	80646.5	665769.9	181855.83	318992.5	24959.25	641782.6	363053.325	1212218.1	476161.91	1906757.8	870102.9	106140.5	2246407.5	135066.4	1103041.55	24600.39	240013.5	3246039	421002.625	584376	427766	302512.5	36903	281003	561913.80269	484365.19172	133064.65	370344.2	952010.67	514841.95	7171003	2775063.75	32689.59361	215615.45	1483598.75	7352410.5288	207038.75	531841.87	1602615.25	1514132.5	1471564	102022.25	2522635.25	3668479.55	13229476.25	103024.07666	3660006	6549506.2	733421.5	5106891.5	2839101.5	737004.31	6798313.75
K03705	204813	611436	150394.5	224607.5	41737.915	3631.3	230376	327009	144914.4	381603.8	957140	622139	145546	186957.15	82843	409766.9	181622.53	346006	24958.5	691862	363052.575	1122706	476158.91	1906721.125	851206	106137.5	2151406	135063.4	1156003.75	9059.59	240010.5	3276706	421577.5	639124.5	411304.5	302366	36902.25	281002.25	561916.331	484360.25	133063.15	404502.25	731309.92	656021.2	4435002.25	2656003	186483.5	215603	1467003.75	7352403	207037.25	477361.87	1602613.75	689201.5	1496163.25	102020.75	2773201.5	3667425.07	9381486.25	103019.45	3660004.5	7385002.25	664771.5	4470001.5	2606171.5	519694.55	3693613.75
K03708	9780	3431	19290	4.5	1.5	3	48301.5	3	1.5	3	253001.5	3	7531.5	17201.5	5071.5	103012.9	3488.03	38201.5	0.75	65601.5	0.75	92501.5	3	0.75	28701.5	3	57601.5	3	53000.75	4045.09	3	38501.5	576.375	90020	49500	3	0.75	0.75	6.081	1.5	1.5	35300.75	46100.75	191000.75	164000.75	292000.75	157542	1.5	1.5	1.5	1.5	17760	1.5	175000	621000.75	1.5	373600	11.35	876400	1.5	1.5	882000.75	90800	1088000	342170	63800	825400
K03734	246622	801237	187079.4	131615	41607.665	3553.9	304907.5	16.5	12918.15	381640.06541	4399316	271564.2987	150712.8	308248.65	86893.5	597369.9	148695.83	305992.5	23640.375	757926.6	54.45	1410618.1	373166.41	316758.925	409802.9	106143.5	2350407.5	70.9	830043.05	27840.39	18	2502939	153579.375	227176	685366	299337	36903.75	4.125	111927.43369	483732.44172	133066.15	418044.2	1086910.67	896841.95	10724003	3395063	206149.59361	111816.2	685601	212412.7788	4041	662141.87	2617.5	1764232.5	2858403	24.5	3077035.25	99902.15	13382476.25	102759.32666	8.25	8659506.2	902251.5	6601891.5	3014101.5	830344.31	7714313.75
K03742	94029	159432	36574.9	9	3.75	7.5	112553	7.5	3.75	39.56541	3281311.5	8.2987	8008.3	115743	7945	462015.9	7201.33	49388	1.875	81122.1	1.875	274513.6	7.5	37.8	76298.4	7.5	210203	7.5	53038.55	23625.89	7.5	46334.5	577.5	121271.5	113361.5	151	1.875	1.875	8.88369	7.19172	3.75	36442.7	312901.5	240821.5	3064001.5	703061.5	160748.09361	14.7	16597.25	9.7788	3.75	85140	3.75	1163931	1217401.5	3.75	477033.75	1076.43	5537390	6.87666	3.75	928504.7	235950	2630890	911100	329909.76	4701100
K03763	65283	22836	30894.5	224604.5	41736.25	3628.3	50926	327006	144902.25	381596.3	253140	359929	8646	19457.15	5195	313166.9	47792.53	101806	24957.75	66262	363001.5	110006	476153	1905200.75	542706	106134.5	98006	135007.5	379003	6869.59	240007.5	884506	421576.75	559024.5	97304.5	4364.5	36901.5	281001.5	561897.081	484118.5	133061.65	147302.25	61309.92	328021.2	175002.25	292003	162083.5	133003	798003	7187402.25	206749.5	108361.87	1602612.25	267101.5	621163.25	102003	473201.5	3570119.07	2286486.25	102958.5	3660003	1248002.25	100671.5	1253001.5	1287171.5	68894.55	1482613.75
K03783	95219	182602	44484.9	9	3.75	7.5	70703	7.5	3.75	39.56541	3235311.5	4216.7987	3378.3	111043	3523	378315.9	7551.33	17388	1.875	41122.1	1.875	243713.6	7.5	37.8	60098.4	7.5	196003	7.5	39.3	20595.89	7.5	40034.5	1.875	48171.5	194961.5	151	1.875	1.875	7.70269	7.19172	3.75	63342.7	318801.5	213821.5	4600001.5	575061.5	14248.09361	14613.95	16597.25	9.7788	3.75	176240	3.75	1089031	979401.5	3.75	273033.75	1771.83	5099390	6.87666	3.75	843504.7	210550	2101890	967100	305909.76	4331100
K03789	198283	584836	134894.5	224606	41737.165	3629.8	223926	327007.5	144913.65	381602.3	750140	617929	142646	174457.15	82195	390466.9	177792.53	339806	24958.125	666262	363052.2	1061006	476157.41	1906720.75	838706	106136	2108006	135061.9	1156003	8049.59	240009	3244506	421577.125	626224.5	282304.5	302364.5	36901.875	281001.875	561912.181	484359.5	133062.4	342302.25	679309.92	492021.2	2735002.25	2492003	175983.5	201003	1467003	7352402.25	207036.5	373361.87	1602613	600101.5	1113163.25	102020	2623201.5	3666719.07	9006486.25	103018.7	3660003.75	6588002.25	613671.5	4093001.5	2214171.5	494894.55	3292613.75
K03797	324557	517434	98244.7	93019.5	143	102.9	250126	327018	132009	117.49623	9545065.5	363228.8961	12971.9	327576	14459	1409321.9	62757.93	141561	1324.5	138419.3	363004.5	717737.8	103018	1590112.275	697992.2	19.5	599206	135018	379114.9	66617.49	240018	940200.5	268580.125	665674.5	417884.5	3628.5	4.875	281004.5	450018.63907	654.32516	9.75	212926.6	913703	641463	10575003	1689183.75	182200.28083	147641.1	847789.5	7140027.0864	203009	414500	1600009	3322993	2793364	102009	933501.25	3573912.59	16644370	285.37998	3660009	2184512.6	587220	6258670	3385960	891989.28	13510500
