Cef2dayrec21	Cef2dayrec22	Cef2dayrec23	Cef2dayrec25	Cef2dayrec26	Cef2dayrec27	Cef6wkrec13	Cef6wkrec14	Cef6wkrec15	Cef6wkrec16	Cef6wkrec17	Cef6wkrec18	Cef6wkrec19	Cef6wkrec20	NoAbx29	NoAbx30	NoAbx31	NoAbx32	NoAbx33	NoAbx34	NoAbx35	NoAbx36	NoAbx6wk37	NoAbx6wk38	NoAbx6wk39	NoAbx6wk40	NoAbx6wk41	NoAbx6wk42	NoAbx6wk43	NoAbx6wk44	KEGG
26.4246	6.0408	16.1838	19.2486	15.0972	15.5244	0.9972	0.83	0.3515	0.544	0.3917	0.3515	0.9063	1	1.3567	0.9605	0.4623	0.9825	1.0041	0.3879	0.7309	2.4146	0.553	0.8261	0.7334	0.7756	1.0998	1.3427	1.4684	1.2877	C00380
0.7857	2.4732	0.6738	0.447	0.546	2.2719	0.149	1.2047	0.8596	0.149	2.0674	0.9664	0.149	0.149	2.5227	3.3241	5.0357	2.3368	0.149	0.149	1	1.256	3.0112	1.143	3.7961	3.8152	0.9474	0.5853	0.7278	1.086	C00259
9.3909	14.8731	4.7205	2.5482	3.3222	4.611	0.5492	0.8453	1.2107	0.6746	1.2713	0.8156	0.6608	0.6908	1.7272	1.2245	0.995	1.3625	0.6535	0.299	0.5192	0.6041	1.005	1.1794	1.0481	1.2698	0.8609	0.6582	0.8615	1.3774	C00095
1.683	2.9187	1.5444	1.7565	1.3941	1.2927	0.6581	0.9698	1.5867	1.106	1.099	0.6475	1.1286	1.0549	2.1694	1.4911	1.3604	1.9351	0.8631	0.4309	0.8503	1.0908	1	1.2914	1.1662	1.4011	0.7646	0.6076	0.9578	1.4425	C00159
3.654	15.2451	2.346	0.3144	0.6402	8.2611	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	0.1048	C00492
91.7406	87.882	67.0299	88.4973	68.5989	84.6714	0.7695	1.3555	0.4597	0.8164	0.7376	0.6252	0.8285	0.7775	0.8765	1.2529	1.0253	1.0984	1.0125	0.4808	1.0212	0.3648	0.7226	0.9875	0.8881	0.6099	1.1523	0.7469	0.7049	1.2498	C00257
3.348	3.0375	2.1297	1.6149	3.0381	3.9306	1.9364	1.9241	0.889	0.8255	1.5657	1.9292	1.4578	1.8235	0.4688	0.2475	0.3319	0.4693	0.7418	1.0809	0.8381	1.5842	1.3219	0.4027	1.465	0.4953	0.6532	0.9875	1.1002	0.3141	C00519
9.5187	3.3819	5.4834	4.3836	5.8836	4.266	1.1735	1.1003	0.671	0.6926	0.8008	1.0361	0.7217	0.831	0.76	0.7344	0.7656	0.9678	1.2154	0.9597	1.0744	1.4962	0.4964	0.6909	0.6656	0.6383	0.7392	0.9119	1.0444	1.0322	C00022
1.0026	0.3399	0.6834	0.4749	0.5787	0.6306	1.2968	1.1257	1.4321	1.3236	1.3809	0.8053	1.1028	1.0427	1.3518	1.0735	0.5846	1.125	1.353	0.6525	0.8883	1.8198	0.5693	1.0604	0.9673	0.8696	1.0327	0.6837	1.4694	1.2704	C00178
0.4725	0.4344	0.2922	0.3819	0.2679	0.2256	2.2172	1.687	0.9968	0.9531	0.9632	0.7181	1.4813	1.5077	1.2376	0.9869	0.7946	1.204	1.5309	1.0525	1.1076	1.7346	0.9156	1.2799	1.0032	1.0513	1.3621	0.9128	1.2289	1.5463	C00106
0.1617	0.8676	0.1038	0.1815	0.0549	0.1947	2.3089	1.2296	0.6343	0.966	0.6412	0.6374	2.8822	2.5643	1.3598	0.9828	1.0172	1.1592	1.9232	3.097	2.2636	2.5848	0.8254	1.0751	0.5822	0.8763	1.1229	1.1394	1.247	1.9707	C00299
