p6z2tr4	p6z1tr66	p6z1tr67	p6z1tr12	p6z2tr68	p6z1tr19	p6z1tr23	p6z1tr40	p7z2tr51	j22tr52	j22tr22	j22tr53	j22tr54	j22tr55	j22tr57	j22tr23	j31tr4	j22tr63	j31tr7	j31tr48	j26tr8	j26tr9	j26tr10	j31tr11	j26tr65	j26tr24	j26tr26	j26tr27	j26tr28	j31tr29	j31tr31	j31tr32	j31tr33	j31tr52	j31tr34	j31tr53	j31tr55	j31tr56	j31tr57	j31tr58	j31tr59	j31tr60	j22tr26	j31tr61	j31tr62	j31tr63	j22tr27	j31tr64	j31tr65	j31tr66	p6z1tr24	p6z2tr44	p6z2tr63	j56tr68	j56tr69	j56tr70	j56tr71	j56tr72	j56tr73	j56tr74	j56tr75	j56tr76	j56tr77	j56tr78	j56tr48	j56tr49	j56tr51	j56tr52	j56tr53	j56tr27	KEGG
4801111	38807822	15233217	7771273	8649711	21120223	10154796	7696840	2704500	10578646	7782666	20826278	13404303	35002618	9949805	14743826	1279308	27492549	39782137	25841164	20138831	57810	4408316	3000166	23320129	4960756	3245237	1907482	35671084	17095597	3648958	11851693	15096902	139395004	926233	7717129	25770706	8375710	120418734	13065774	13020711	5146576	877036	3708281	29659593	11281577	472038	16827209	8141784	10665846	44125324	35151465	8573392	14190243	34422161	13018423	5046952	76033181	650585	14073981	51298392	12191650	17026123	8683226	126285881	83160465	5610303	3004062	47762073	33591225	C00366
71174	68947	63315	72878	36407	58565	60320	50128	54653	108500	51732	83933	36838	321154	59283	54736	56210	425731	163183	71613	151596	60460	47636	186347	58102	71884	97652	130884	643976	186322	57948	175327	121731	944345	101988	51072	167013	66373	233072	155246	60181	190188	58029	70110	201060	57333	129990	374788	74513	572865	242195	452735	72810	381143	114529	74763	87705	471829	70878	201403	673424	145319	163047	380173	69108	353374	72773	840597	75505	72974	C00020
20333	3915	12705	311518	9838	9906	1995	486457	55632	100679	10841	19302	8786	163662	8250	88605	9313	93972	46691	1931	273539	41781	15263	28812	24822	38479	43928	3602	77738	94996	7933	16684	40922	295297	5438	873777	2760	4699	798767	10938	10914	8975	65645	3783	19246	9430	3247	17757	13015	54062	24181	56206	28413	71377	60068	9721	5439	11305	20618	36494	142801	48568	7782	75612	279458	135974	12512	5753	38863	3890376	C03794
11226010	21650962	7121495	20682492	6377585	22617678	11347364	15192528	11564669	22345066	56413802	9128691	11757942	11691297	8148172	4704558	2303515	55991862	39678945	19110101	45317005	6192382	6031220	5545499	168500100	6690939	11403304	2582691	4426849	7645736	7376168	7488455	2060841	153271632	5845619	7745934	7341706	17744165	72029040	18523201	14573826	4260745	10120525	3722460	54781392	5675096	4672073	21533722	10997017	5293139	16256182	5470717	3520612	6087037	19670610	17065698	1929732	4260531	6545359	4816390	15914685	5484914	3324913	5190982	75100740	30429348	2620785	1722976	22738906	81353255	C00114
2677246	1026209	149774	4048998	672294	938075	856051	3681896	1784765	4618616	1299818	630528	875979	601198	639452	5320182	368257	1361992	756715	250410	921158	1434429	325870	601592	2626737	4214073	10246234	107787	345425	273024	434656	1312292	846315	5743463	252824	422382	467041	1903489	2111107	575212	581841	224508	3215662	306435	2725697	219763	104160	550490	3457052	215677	483890	698639	2464307	359887	579956	278936	90438	275793	3092912	293457	393338	174303	189031	175462	1530393	965281	143085	165737	4155841	2492396	C01026
46877	284973	129872	243283	75761	288720	270642	286898	56778	1182474	98913	192891	20713	82345	114096	30896	23787	168215	385521	66617	115618	50590	304796	283676	97724	227567	23054	18100	38644	223984	48644	179976	10620	212049	34940	469992	53550	69865	1324234	39222	18204	32371	27512	15632	514705	74793	77998	61870	156282	90673	272265	161833	425353	175913	88659	89977	59843	64717	226652	76356	313792	308624	60883	124035	147430	953028	94189	125774	539114	397804	C00153
182381	13995	153504	102724	968486	35514	55434	71704	70355	302046	142254	25002	7153	104544	41165	121763	482981	74839	828461	31901	131610	246339	530348	75306	265520	127815	237021	17019	381431	65112	191418	24950	326761	6480844	8036	1526782	60022	16739	1660171	42587	302227	152577	69106	595724	50054	312134	63856	19402	102322	16332	20076	756931	118483	267581	94549	105486	163952	205077	94492	525507	276877	81375	354302	611981	668292	637521	258143	148677	209925	136495	C00120
103792	305829	565846	140461	221089	207594	132142	132554	127408	167146	96417	107980	124525	302115	151603	73649	32345	120184	349447	426699	152896	58044	86769	92788	101733	223700	85226	70051	606429	177876	65893	191440	86812	956936	68552	65088	80279	62357	600546	44738	88594	70023	69689	69448	88773	62761	23433	115398	48105	153462	93619	124897	77967	119232	288343	141529	90457	1426347	60888	147789	67792	85566	104569	89876	423579	123211	51512	57102	93416	203591	C01104
3773813	24577771	12676102	6450362	13015364	27705066	5516141	6890546	2241441	1264676	1191866	12537514	2277374	51153843	3239169	1634273	1047047	4750826	5640067	5890395	7381738	103298	7468744	1112442	3139876	6803935	9964818	1507564	11595904	3760923	1044674	3093718	18401472	10666675	375789	2563568	6895229	862188	28004216	4105418	2498411	3509871	1094080	814854	9250173	8079395	288498	3695452	854575	4467023	30430060	4103306	4921546	2581307	4180496	15573032	1494406	67909999	1124910	10019851	9741080	3689422	6003225	22194438	81421327	3196308	1901059	823863	11314681	2034490	C00493
5536163	4790967	4402724	6524513	4362977	4348207	4926269	5755242	4886185	5493520	5891134	5249058	5282760	5090745	4104517	6684118	4576829	4773164	5940930	5111305	5132132	6321989	5567833	5611037	6056452	6559696	6369049	4456433	4233227	4866478	4739227	6197844	3310037	4293260	3942390	5018399	4228363	4360895	5210997	5037156	4601701	4945379	4669062	4460478	5384257	4877196	4479405	4170099	5132808	5159596	4077626	3373479	4685579	4478572	5016652	5570664	4673051	5363130	4303289	4642078	5374488	5808564	4847895	4636231	4118594	5204145	5270554	4929044	5131824	5967891	C00989
