compound	Species	V1	Var	Mean	VarShare
C00695	4447176	131043.097334744	8673506191.42902	-143604.885491516	1.51084341721273e-05
C00695	4448052	0	8673506191.42902	-143604.885491516	0
C00695	4449236	0	8673506191.42902	-143604.885491516	0
C00695	4449518	8624629883.67792	8673506191.42902	-143604.885491516	0.994364873135227
C00695	4449524	0	8673506191.42902	-143604.885491516	0
C00695	4449526	0	8673506191.42902	-143604.885491516	0
C00695	4449633	0	8673506191.42902	-143604.885491516	0
C00695	4449851	342357.693254689	8673506191.42902	-143604.885491516	3.94716606754716e-05
C00695	4449984	-4639178.82106293	8673506191.42902	-143604.885491516	-0.000534867759205299
C00695	4451901	0	8673506191.42902	-143604.885491516	0
C00695	4452613	0	8673506191.42902	-143604.885491516	0
C00695	4453627	71795.0864742396	8673506191.42902	-143604.885491516	8.2775160228958e-06
C00695	4453723	0	8673506191.42902	-143604.885491516	0
C00695	4454025	-1216706.42830795	8673506191.42902	-143604.885491516	-0.000140278498850935
C00695	4455677	0	8673506191.42902	-143604.885491516	0
C00695	4456605	-395375.603266435	8673506191.42902	-143604.885491516	-4.55842878923793e-05
C00695	4459184	1212499.24865112	8673506191.42902	-143604.885491516	0.000139793437842852
C00695	4460560	252778.27507473	8673506191.42902	-143604.885491516	2.91437245210616e-05
C00695	4460604	91979425.9473624	8673506191.42902	-143604.885491516	0.0106046417581686
C00695	446135	0	8673506191.42902	-143604.885491516	0
C00695	4462541	-152649.881354044	8673506191.42902	-143604.885491516	-1.75995587003661e-05
C00695	4463108	-773798.382310949	8673506191.42902	-143604.885491516	-8.92140231681163e-05
C00695	4464113	8937216.18369821	8673506191.42902	-143604.885491516	0.00103040408186136
C00695	4464787	41590378.5563094	8673506191.42902	-143604.885491516	0.00479510565143865
C00695	4467447	-1841813.89773249	8673506191.42902	-143604.885491516	-0.00021234940715815
C00695	4471135	-385980.809755458	8673506191.42902	-143604.885491516	-4.45011280601698e-05
C00695	4471525	31907.5483708332	8673506191.42902	-143604.885491516	3.67873702590581e-06
C00695	4475886	0	8673506191.42902	-143604.885491516	0
C00695	4476330	-11629074.8042088	8673506191.42902	-143604.885491516	-0.00134075822943441
C00695	4476780	184181774.500593	8673506191.42902	-143604.885491516	0.0212349850724263
C00695	4480176	0	8673506191.42902	-143604.885491516	0
C00695	4480555	0	8673506191.42902	-143604.885491516	0
C00695	4480557	-362971.632517215	8673506191.42902	-143604.885491516	-4.18483165292365e-05
C00695	4481359	-1363994.94797542	8673506191.42902	-143604.885491516	-0.000157259926709142
C00695	4481506	-178940472.566225	8673506191.42902	-143604.885491516	-0.0206306963547279
C00695	4483570	71795.0864742396	8673506191.42902	-143604.885491516	8.2775160228958e-06
C00695	4483585	-328234.476589575	8673506191.42902	-143604.885491516	-3.784334378108e-05
C00695	449353	0	8673506191.42902	-143604.885491516	0
C01035	4402042	0	24791169612.1479	-135628.180976871	0
C01035	4402077	1130055069.05618	24791169612.1479	-135628.180976871	0.0455829671102909
C01035	4403349	0	24791169612.1479	-135628.180976871	0
C01035	4405128	0	24791169612.1479	-135628.180976871	0
C01035	4407190	2709729719.48919	24791169612.1479	-135628.180976871	0.109302213726996
