OTU	LBNL_CC002_M_18	LBNL_CC004_F_23	LBNL_CC004_M_24	LBNL_CC008_F_21	LBNL_CC008_M_22	LBNL_CC010_F_15	LBNL_CC010_M_16	LBNL_CC011_F_25	LBNL_CC011_M_26	LBNL_CC013_F_45	LBNL_CC013_M_46	LBNL_CC026_F_53	LBNL_CC028_F_31	LBNL_CC030_F_43	LBNL_CC030_M_44	LBNL_CC032_F_29	LBNL_CC032_M_30	LBNL_CC033_F_33	LBNL_CC033_M_34	LBNL_CC036_F_35	LBNL_CC036_M_36	LBNL_CC037_F_13	LBNL_CC037_M_14	LBNL_CC038_F_47	LBNL_CC038_M_48	LBNL_CC039_F_11	LBNL_CC050_F_41	LBNL_CC051_F_1	LBNL_CC051_M_2	LBNL_CC052_F_39	LBNL_CC055_M_6	LBNL_CC057_F_49	LBNL_CC061_F_51	LBNL_CC061_M_52	LBNL_CC065_F_9	LBNL_CC065_M_10	UNC_CC002_F_4	UNC_CC002_M_3	UNC_CC004_F_6	UNC_CC004_M_5	UNC_CC008_F_8	UNC_CC008_M_7	UNC_CC010_M_9	UNC_CC011_F_12	UNC_CC011_M_11	UNC_CC013_M_13	UNC_CC016_F_16	UNC_CC016_M_15	UNC_CC021_F_20	UNC_CC021_M_19	UNC_CC026_F_22	UNC_CC026_M_21	UNC_CC028_F_24	UNC_CC028_M_23	UNC_CC030_F_26	UNC_CC030_M_25	UNC_CC032_F_28	UNC_CC032_M_27	UNC_CC033_F_30	UNC_CC033_M_29	UNC_CC036_F_32	UNC_CC036_M_31	UNC_CC037_F_34	UNC_CC037_M_33	UNC_CC038_F_36	UNC_CC038_M_35	UNC_CC039_M_37	UNC_CC050_F_46	UNC_CC050_M_45	UNC_CC051_F_48	UNC_CC051_M_47	UNC_CC052_F_50	UNC_CC052_M_49	UNC_CC061_F_58	UNC_CC061_M_57	UNC_CC065_F_60	UNC_CC065_M_59
192712	70	100	116	82	103	114	0	119	124	111	135	90	124	96	73	161	61	182	99	6	119	136	90	67	147	92	99	0	0.5	100	2	53	122	115	42	94	130	0	101	95	51	0	0	7	5	11	34	5	4	13	9	17	38	20	17	8.5	16.5	20	51	14.5	20	24.5	56	34	170.5	44	17	3	6	0	0	26	4	30	16	0	0
4432841	5	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	44.5	52.5	0	0	0	3	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	11.5	0	0	0.5	0	3.5	0	0	0	0	47.5	0	59	25	0	0	16	0	0	33
336012	1	0	3	0	3	3	13	5	3	4	4	0	1	4	0	3	0	2	0	2	0	9	1	0	0	4	0	21.5	13.5	0	26	0	0	0	16	3	0	27	1	0	0	0	15	0	0	26	0	0	0	0	0	0	0	0	0	0	0	27.5	0	0	0	1	0.5	0	0	0	16	6.5	0	26	9	0	0	0	0	23	28
264734	64	15	31	24	42	42	22	73	37	29	4	13	56	37	22	47	9	12	2	13	26	98	39	17	2	25	9	204	122.5	9	266	10	16	23	141	95	41	673	16	18	20	1	52	10	3	23	8	69	21	23	23.3333333333333	13.5	67	46	30	40	83	249.5	13	9.5	90.5	83.5	60.5	62	35.5	24	12.5	359	37	716	712	17	7	67	22	110	320
331117	43	46	85	50	59	30	31	82	74	23	10	47	15	38	38	83	2	28	5	3	47	97	28	29	97	45	48	1.5	1.5	35	17	21	13	42	27	43	26	0	27	65	2	0	12	1	6	8	17	9	34	1	60	25.5	9	5	3	3	6	4.5	9	49.5	1.5	2	38	12.5	162	19	5.5	1	3	1	0	59	113	17	1	22	5
259846	11	40	20	40	30	30	8	6	26	30	86	51	27	37	13	4	6	23	40	2	22	26	19	16	0	10	57	9	3.5	33	33	27	39	27	22	28	43	0	19	38	82	0	0	1	0	0	10	1	4	0	0.333333333333333	1	4	0	1	2	0	1	0	0.5	0	7	23.5	8.5	2	11	6.5	2.5	0	0	0.5	1	0	0	0	3	10
267769	0	0	1	0	0	1	0	0	0	0	0	3	0	0	0	12	18	1	0	0	0	0	0	1	0	0	3	0	0	0	0	0	77	0	0	2	0	2	0	2	5	0	0	126	48	164	0	123	0	0	1.33333333333333	5.5	0	0	0	0	43	155.5	0	0	2	0	0	0	0	0	0	34.5	0	45	68.5	0	0	40	188	1	6
392918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	4.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336810	28	29	50	49	22	30	8	55	35	13	4	25	24	20	21	46	13	24	5	6	37	39	15	9	24	33	34	15.5	10	28	21	29	12	30	14	27	57	16	15	20	6	0	29	4	6	3	16	3	31	15	10.6666666666667	5	10	8	9	10	5.5	4	0	27	4	3	23	15	4.5	13	20	4	23	8	9.5	18	7	4	0	22	27
199307	7	4	4	2	7	2	0	1	4	1	1	4	5	7	4	2	5	4	2	2	3	3	12	5	34	2	4	10	5.5	10	9	7	9	7	8	7	4	0	5	3	12	0	2	3	1	0	8	1	1	3	2.66666666666667	0	0	3	1	0.5	1	0	0	3.5	0	4	3.5	0.5	6.5	2	3	1	0	1	1	1	2	0	1	4	2
259916	8	9	14	6	14	9	2	17	10	2	3	7	11	7	13	14	5	8	3	4	9	12	4	5	27	8	4	2.5	5	7	0	12	8	7	5	12	6	3	6	3	5	0	14	3	3	1	6	1	12	5	9.33333333333333	3	20	1	1	2	0	2.5	9	22	0.5	0.5	5	3	11.5	8	3.5	2	6	0	2.5	15	9	6	1	24	25
258725	1	3	3	4	5	2	0	1	4	4	7	4	4	9	5	2	2	4	0	2	12	4	5	2	4	1	13	7	10.5	0	7	1	3	5	22	0	11	1	4	0	8	0	0	1	0	0	3	11	0	3	0.666666666666667	0.5	2	0	3	11	4	7	6	2.5	3.5	2.5	1	3.5	1.5	5	5	5	5	2	1.5	7	1	2	1	0	0
307416	1	1	0	0	0	0	2	0	0	0	1	0	24	0	0	2	1	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	7	0	0	0	0	0	0	2	13	0	1	0	0	1	14	10	0	0	8.66666666666667	1	8	17	15	0.5	11	3	4	5.5	5	1.5	1	0	1.5	6	3.5	1	41	0	0	2	14	4	0	2	7
265030	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	1	0	0	0	0	0	2	0	0	0
326055	40	34	50	48	49	31	86	64	50	41	2	31	1	22	8	42	7	34	0	14	39	38	19	11	2	85	21	28	38.5	29	0	33	25	22	22	47	26	0	30	38	25	0	40	0	0	0	16	0	0	0	1	3.5	0	0	0	1	0.5	0	0	0.5	0	9	9	3.5	0.5	21	4	0	0	0	0.5	1	0	0	0	0	0
