met	KEGG
12dgr120[c]	NA
12dgr140[c]	NA
12dgr141[c]	NA
12dgr160[c]	NA
12dgr161[c]	NA
12dgr180[c]	NA
12dgr181[c]	NA
ala_D[e]	C00133
pprdn[c]	C06181
26dap_M[c]	NA
26dap_LL[c]	NA
cdpdaipdecg[c]	NA
cdpdaihpdecg[c]	NA
cdpditdecg[c]	NA
cdpdipdecg[c]	NA
cdpdihdecg[c]	NA
cdpdihpdecg[c]	NA
db4p[c]	NA
dcyt[c]	C00881
duri[c]	C00526
dcyt[e]	C00881
ddca[e]	C02679
2dh3dgal[c]	NA
2dh3dgal6p[c]	NA
2ddglcn[e]	NA
2ddg6p[c]	NA
e4p[c]	C00279
2dda7p[c]	NA
4h2oglt[c]	C01127
glx[c]	C00048
g3p[c]	C00661
dgmp[c]	C00362
dgsn[e]	C00330
dgsn[c]	C00330
23dhmb[c]	NA
3mop[c]	C03465
23ddhb[c]	NA
23dhb[c]	NA
23dhba[c]	NA
dhcinnm[e]	NA
23dhdp[c]	NA
thdp[c]	NA
dhf[c]	C00415
fol[c]	C00504
dhpt[c]	NA
dhna[c]	NA
phyldpp[c]	NA
dmphqno[c]	NA
octdp[c]	NA
2dmmql8[c]	NA
2ahhmp[c]	C01300
6hmhpt[c]	NA
dhor_S[c]	C00337
orot[c]	C00295
cechddd[c]	NA
25dhpp[c]	NA
dhpppn[e]	NA
dhbpt[c]	C02953
thbpt[c]	C00272
6hmhptpp[c]	NA
3dhq[c]	NA
3dhsk[c]	NA
din[e]	C05512
25dkglcn[c]	NA
2dhguln[c]	NA
dmpp[c]	C00235
ipdp[c]	C00129
grdp[c]	C00341
h2mb4p[c]	NA
dmso[c]	NA
dms[c]	NA
dmso[e]	NA
dms[e]	NA
h2o[e]	C00001
4hba[c]	NA
dhptd[c]	NA
kdo2lipid4L[c]	NA
dhpmp[c]	NA
dpcoa[c]	C00882
2dhp[c]	NA
pant_R[c]	NA
drib[c]	C01801
2dr5p[c]	C00673
drib[e]	C01801
ser_D[e]	C00740
ser_D[c]	C00740
dtmp[c]	C00364
56dura[c]	C00429
56dthm[c]	C00906
thym[c]	C00178
dump[c]	C00365
2dr1p[c]	C00672
duri[e]	C00526
dxyl5p[c]	NA
2me4p[c]	NA
ficytC[c]	NA
lac_D[c]	C00256
focytC[c]	NA
lac_D[e]	C00256
4per[c]	NA
gACPm[c]	NA
pmACPm[c]	NA
14mpentdecACP[c]	NA
15mpalmACP[c]	NA
2mp2coa[c]	C03460
3hibutcoa[c]	C06000
3hhcoa[c]	NA
3hocoa[c]	NA
3hdcoa[c]	C05264
3hddcoa[c]	C05262
3htdcoa[c]	C05260
3hhdcoa[c]	NA
3hmbcoa[c]	C04405
6pgc[c]	C00345
lipa[c]	NA
e4hglu[c]	C05947
2pg[c]	C00631
etha[c]	C00189
etha[e]	C00189
ethso3[e]	NA
ethso3[c]	NA
etoh[e]	C00469
3hpppn[e]	NA
Lcyst[e]	C57006
biomass[c]	NA
cl[e]	C00698
fe2[e]	C14818
fe3[e]	C14819
fecrm[e]	NA
for[e]	C00058
fru[e]	C02336
fuc1p_L[e]	C02985
fuc_L[e]	C01019
fum[e]	C00122
g6p[e]	C00092
gal[e]	C00984
galct_D[e]	NA
galctn_D[e]	NA
galt[e]	C01697
galur[e]	NA
gcald[e]	C00266
glc_D[e]	C00031
glcn[e]	C00257
glcr[e]	C00818
glcur[e]	C00191
gln_L[e]	C00064
glu_L[e]	C00025
gly[e]	C00037
glyasn[e]	NA
glyasp[e]	NA
glyb[e]	C00719
glyc[e]	C00116
glyc3p[e]	C00093
glyclt[e]	C00160
glycys[e]	NA
glygln[e]	NA
glyglu[e]	NA
glyleu[e]	C02155
glymet[e]	NA
glyphe[e]	NA
glypro[e]	NA
glytyr[e]	NA
gsn[e]	C00387
h2[e]	C00282
h2s[e]	NA
hdca[e]	C00249
hexs[e]	NA
hg2[e]	NA
his_L[e]	C00135
hxan[e]	C00262
idon_L[e]	NA
ile_L[e]	C00407
indole[e]	NA
ins[e]	C00294
isetac[e]	NA
k[e]	C00238
lac_L[e]	C00186
lcts[e]	C00243
leu_L[e]	C00123
mal_L[e]	C00149
malt[e]	C00208
malthx[e]	C01936
malttr[e]	C01835
man[e]	C00159
man6p[e]	C00275
mantr[e]	NA
melib[e]	NA
met_D[e]	NA
met_L[e]	C00073
metala[e]	NA
metsox_R_L[e]	NA
metsox_S_L[e]	NA
mg2[e]	NA
mn2[e]	NA
mnl[e]	NA
mops[e]	NA
mso3[e]	NA
