Rxn	Species	SamplesWithNeg	SamplesWithPos	SamplesWithBoth	FracPosLastTP	FracNegLastTP	ClearPos	ClearNeg	Reversible
ACCOAT	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACGAMT	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACGAMT	ErectaleAGORA	0	61	0	1	0	1	0	0
ACGK	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACGK	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACGK	DpigerAGORA	0	61	0	1	0	1	0	0
ACGK	ErectaleAGORA	0	61	0	1	0	1	0	0
ACHBPL	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACHBPL	BovatusAGORA	0	61	0	1	0	1	0	0
ACHBPL	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACHBPL	DpigerAGORA	0	26	0	0	0	1	0	0
ACHBPL	ErectaleAGORA	0	61	0	1	0	1	0	0
ACKr	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACKr	BovatusAGORA	0	61	0	1	0	1	0	0
ACKr	BthetaiotaomicronAGORA	2	61	2	0.967213114754098	0	0	0	1
ACKr	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACKr	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACKr	DpigerAGORA	0	61	0	1	0	1	0	0
ACKr	EcoliAGORA	0	61	0	1	0	1	0	0
ACKr	ErectaleAGORA	0	61	0	1	0	1	0	0
ACKr	MformatexigensAGORA	0	61	0	1	0	1	0	0
ACLS_a	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACLS_a	BovatusAGORA	0	61	0	1	0	1	0	0
ACLS_a	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACLS_a	DpigerAGORA	0	26	0	0	0	1	0	0
ACLS_a	ErectaleAGORA	0	61	0	1	0	1	0	0
ACLS_b	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACLS_b	DpigerAGORA	0	22	0	0	0	1	0	0
ACLS_b	ErectaleAGORA	0	61	0	1	0	1	0	0
ACOAAGPAT180	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACOAAGPAT180	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACOAAGPAT180	ErectaleAGORA	0	61	0	1	0	1	0	0
ACOAAGPATAI17	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACOAAGPATAI17	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACOAAGPATAI17	ErectaleAGORA	0	61	0	1	0	1	0	0
ACOAAGPATI17	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACOAAGPATI17	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACOAAGPATI17	ErectaleAGORA	0	61	0	1	0	1	0	0
ACOAD1	EcoliAGORA	0	61	0	1	0	1	0	0
ACOATA	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACOATA	BovatusAGORA	0	61	0	1	0	1	0	0
ACOATA	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACOTA	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACOTA	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACOTA	DpigerAGORA	0	61	0	1	0	1	0	0
ACOTA	ErectaleAGORA	0	61	0	1	0	1	0	0
ACPS1	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACPS1	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ACPS1	BovatusAGORA	0	61	0	1	0	1	0	0
ACPS1	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ACPS1	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACPS1	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ACPS1	DpigerAGORA	0	61	0	1	0	1	0	0
ACPS1	EcoliAGORA	0	61	0	1	0	1	0	0
ACPS1	ErectaleAGORA	0	61	0	1	0	1	0	0
ACPS1	MformatexigensAGORA	0	61	0	1	0	1	0	0
ACS	BthetaiotaomicronAGORA	0	5	0	0.4	0	1	0	0
ACtr	BthetaiotaomicronAGORA	61	5	5	0.0327868852459016	0.967213114754098	0	0	1
ACtr_1	ErectaleAGORA	0	61	0	1	0	1	0	0
ACtr_2	BcaccaeAGORA	0	61	0	1	0	1	0	0
ACtr_2	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ACtr_2	BovatusAGORA	0	61	0	1	0	1	0	0
ACtr_2	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ACtr_2	CsymbiosumAGORA	12	61	12	1	0	0	0	1
ACtr_2	DpigerAGORA	0	61	0	1	0	1	0	0
ACtr_2	EcoliAGORA	0	61	0	1	0	1	0	0
ACtr_2	MformatexigensAGORA	0	61	0	1	0	1	0	0
ADCL	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADCS	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
ADD	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADK1	BthetaiotaomicronAGORA	12	61	12	0.934426229508197	0	0	0	1
ADK10	BovatusAGORA	0	53	0	0.0188679245283019	0	1	0	0
ADK10	BthetaiotaomicronAGORA	0	59	0	0.0169491525423729	0	1	0	0
ADK10	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADK11	BcaccaeAGORA	0	61	0	1	0	1	0	0
ADK11	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ADK11	BovatusAGORA	0	61	0	0.983606557377049	0	1	0	0
ADK11	BthetaiotaomicronAGORA	0	61	0	0.983606557377049	0	1	0	0
ADK11	CaerofaciensAGORA	0	7	0	0	0	1	0	0
ADK11	DpigerAGORA	0	61	0	1	0	1	0	0
ADK11	ErectaleAGORA	0	61	0	1	0	1	0	0
ADK11	MformatexigensAGORA	0	61	0	1	0	1	0	0
ADK1_1	BcaccaeAGORA	0	61	0	1	0	1	0	0
ADK1_1	BhydrogenotrophicaAGORA	0	61	0	1	0	1	0	0
ADK1_1	BovatusAGORA	0	61	0	0.950819672131147	0	1	0	0
ADK1_1	CsymbiosumAGORA	0	61	0	1	0	1	0	0
ADK1_1	DpigerAGORA	0	61	0	1	0	1	0	0
ADK1_1	EcoliAGORA	0	61	0	1	0	1	0	0
ADK1_1	ErectaleAGORA	0	61	0	1	0	1	0	0
ADK1_1	MformatexigensAGORA	0	61	0	1	0	1	0	0
ADK1_2	CaerofaciensAGORA	0	61	0	1	0	1	0	0
ADK2	BthetaiotaomicronAGORA	0	61	0	1	0	1	0	0
