SimRun	TimePoint	Species	Code	value
10	577	BthetaiotaomicronAGORA	Bt	0.07369555
11	577	BthetaiotaomicronAGORA	Bt	0.07269137
12	577	BthetaiotaomicronAGORA	Bt	0.07111359
13	577	BthetaiotaomicronAGORA	Bt	0.06950129
14	577	BthetaiotaomicronAGORA	Bt	0.0777133
15	577	BthetaiotaomicronAGORA	Bt	0.07804774
16	577	BthetaiotaomicronAGORA	Bt	0.07849812
17	577	BthetaiotaomicronAGORA	Bt	0.07890894
18	577	BthetaiotaomicronAGORA	Bt	0.07961771
19	577	BthetaiotaomicronAGORA	Bt	0.08034887
20	577	BthetaiotaomicronAGORA	Bt	0.0775558
21	577	BthetaiotaomicronAGORA	Bt	0.0777289
22	577	BthetaiotaomicronAGORA	Bt	0.07800674
23	577	BthetaiotaomicronAGORA	Bt	0.07826989
24	577	BthetaiotaomicronAGORA	Bt	0.07873837
25	577	BthetaiotaomicronAGORA	Bt	0.07925871
26	577	BthetaiotaomicronAGORA	Bt	0.07882227
27	577	BthetaiotaomicronAGORA	Bt	0.07990922
28	577	BthetaiotaomicronAGORA	Bt	0.08120973
29	577	BthetaiotaomicronAGORA	Bt	0.08230811
30	577	BthetaiotaomicronAGORA	Bt	0.08400562
31	577	BthetaiotaomicronAGORA	Bt	0.08563634
32	577	BthetaiotaomicronAGORA	Bt	0.0757113
33	577	BthetaiotaomicronAGORA	Bt	0.07437376
34	577	BthetaiotaomicronAGORA	Bt	0.07298199
35	577	BthetaiotaomicronAGORA	Bt	0.0718739
36	577	BthetaiotaomicronAGORA	Bt	0.07037439
37	577	BthetaiotaomicronAGORA	Bt	0.06899958
38	577	BthetaiotaomicronAGORA	Bt	0.0784071
39	577	BthetaiotaomicronAGORA	Bt	0.07916703
40	577	BthetaiotaomicronAGORA	Bt	0.08003316
41	577	BthetaiotaomicronAGORA	Bt	0.08070123
42	577	BthetaiotaomicronAGORA	Bt	0.08164811
43	577	BthetaiotaomicronAGORA	Bt	0.08243156
44	577	BthetaiotaomicronAGORA	Bt	0.0602466
45	577	BthetaiotaomicronAGORA	Bt	0.04997763
46	577	BthetaiotaomicronAGORA	Bt	0.04020034
47	577	BthetaiotaomicronAGORA	Bt	0.03384258
48	577	BthetaiotaomicronAGORA	Bt	0.0259863
49	577	BthetaiotaomicronAGORA	Bt	0.02006007
50	577	BthetaiotaomicronAGORA	Bt	0.1152033
51	577	BthetaiotaomicronAGORA	Bt	0.139121
52	577	BthetaiotaomicronAGORA	Bt	0.1624048
53	577	BthetaiotaomicronAGORA	Bt	0.1778614
54	577	BthetaiotaomicronAGORA	Bt	0.1974341
55	577	BthetaiotaomicronAGORA	Bt	0.212569
56	577	BthetaiotaomicronAGORA	Bt	0.07690774
57	577	BthetaiotaomicronAGORA	Bt	0.07655208
58	577	BthetaiotaomicronAGORA	Bt	0.07620688
59	577	BthetaiotaomicronAGORA	Bt	0.07589358
60	577	BthetaiotaomicronAGORA	Bt	0.07550534
61	577	BthetaiotaomicronAGORA	Bt	0.07512716
1	577	CaerofaciensAGORA	Ca	0.01061496
2	577	CaerofaciensAGORA	Ca	0.01075124
3	577	CaerofaciensAGORA	Ca	0.01071795
4	577	CaerofaciensAGORA	Ca	0.01055434
5	577	CaerofaciensAGORA	Ca	0.01035369
6	577	CaerofaciensAGORA	Ca	0.009957135
7	577	CaerofaciensAGORA	Ca	0.00945185
8	577	CaerofaciensAGORA	Ca	0.01490797
9	577	CaerofaciensAGORA	Ca	0.01764683
10	577	CaerofaciensAGORA	Ca	0.02045226
11	577	CaerofaciensAGORA	Ca	0.02242285
12	577	CaerofaciensAGORA	Ca	0.02507905
13	577	CaerofaciensAGORA	Ca	0.02728081
14	577	CaerofaciensAGORA	Ca	0.01048569
15	577	CaerofaciensAGORA	Ca	0.01037302
16	577	CaerofaciensAGORA	Ca	0.01022497
17	577	CaerofaciensAGORA	Ca	0.01009639
18	577	CaerofaciensAGORA	Ca	0.00988363
19	577	CaerofaciensAGORA	Ca	0.009663402
20	577	CaerofaciensAGORA	Ca	0.01069691
21	577	CaerofaciensAGORA	Ca	0.01073374
22	577	CaerofaciensAGORA	Ca	0.01075129
23	577	CaerofaciensAGORA	Ca	0.01074787
24	577	CaerofaciensAGORA	Ca	0.01071985
25	577	CaerofaciensAGORA	Ca	0.01067378
26	577	CaerofaciensAGORA	Ca	0.01067435
27	577	CaerofaciensAGORA	Ca	0.01067548
28	577	CaerofaciensAGORA	Ca	0.01064372
29	577	CaerofaciensAGORA	Ca	0.01058327
30	577	CaerofaciensAGORA	Ca	0.01042127
31	577	CaerofaciensAGORA	Ca	0.01021525
32	577	CaerofaciensAGORA	Ca	0.00994808
33	577	CaerofaciensAGORA	Ca	0.009419244
34	577	CaerofaciensAGORA	Ca	0.008793025
35	577	CaerofaciensAGORA	Ca	0.008299844
