noiseLevel	SimRun	TimePoint	niceLab	compound	value
8	13	577	amylose (n=300 repeat units; alpha-1;4-glc)	amylose300[env]	0.0000503820441769918
8	13	577	l-argininium(1+)	arg_L[env]	0.0169089132633375
8	13	577	l-asparagine	asn_L[env]	0.00924286754877704
8	13	577	l-aspartate(1-)	asp_L[env]	0.00912034140798688
8	13	577	biotin	btn[env]	0.234976774439538
8	13	577	butyrate	but[env]	4.25400395105429
8	13	577	calcium(2+)	ca2[env]	21.3058167576412
8	13	577	cob(i)alamin	cbl1[env]	0.215393743394315
8	13	577	cellulose	cellul[env]	0.00044671393943609
8	13	577	l-cysteinylglycine	cgly[env]	0.0225881038818732
8	13	577	choline	chol[env]	0.01122316588643
8	13	577	citrate	cit[env]	0.00448194962662732
8	13	577	chloride	cl[env]	23.8950535030318
8	13	577	carbon dioxide	co2[env]	7.72279268520351
8	13	577	co2+	cobalt2[env]	21.2760610355817
8	13	577	cytosine	csn[env]	0.000000000237244166163984
8	13	577	cu2+	cu2[env]	24.265657825106
8	13	577	l-cysteine	cys_L[env]	0.0959969002287875
8	13	577	ethanol	etoh[env]	0.0066790106583181
8	13	577	fe2+	fe2[env]	19.7406461807087
8	13	577	fe3+	fe3[env]	19.0125629815253
8	13	577	folate	fol[env]	0.220176421125802
8	13	577	formate	for[env]	4.13880957892504
8	13	577	d-fructose	fru[env]	0.0106280527847835
8	13	577	d-galactose	gal[env]	0.012314074378402
8	13	577	d-glucose	glc_D[env]	0.00920571645977605
8	13	577	l-glutamine	gln_L[env]	0.00953467029034923
8	13	577	l-glutamate(1-)	glu_L[env]	0.00930433176309939
8	13	577	glycine	gly[env]	0.0222627880178385
8	13	577	glycerol	glyc[env]	0.0116006503185463
8	13	577	guanine	gua[env]	0.000000000409797211130711
8	13	577	hydrogen	h2[env]	0.520615855766229
8	13	577	water	h2o[env]	2249.05749165023
8	13	577	hydrogen sulfide	h2s[env]	20.6364982916903
8	13	577	proton	h[env]	0.35947088291076
8	13	577	hexadecanoate (n-c16:0)	hdca[env]	0.125476519941896
