SimRun	TimePoint	niceLab	compound	value
57	577	amylose	amylose300[env]	0.0000475097699152071
58	577	amylose	amylose300[env]	0.000047549727235153
59	577	amylose	amylose300[env]	0.000047571675060455
5	577	amylose	amylose300[env]	0.0000456673951487201
60	577	amylose	amylose300[env]	0.0000475835948540002
61	577	amylose	amylose300[env]	0.0000475704377482643
6	577	amylose	amylose300[env]	0.0000454635019636
7	577	amylose	amylose300[env]	0.0000453260930391306
8	577	amylose	amylose300[env]	0.0000476035517355827
9	577	amylose	amylose300[env]	0.000047709845489841
10	577	biotin	btn[env]	0.211647789502467
11	577	biotin	btn[env]	0.211647789502467
12	577	biotin	btn[env]	0.211647789502467
13	577	biotin	btn[env]	0.211647789502467
14	577	biotin	btn[env]	0.211647789502467
15	577	biotin	btn[env]	0.211647789502467
16	577	biotin	btn[env]	0.211647789502467
17	577	biotin	btn[env]	0.211647789502467
18	577	biotin	btn[env]	0.211647789502467
19	577	biotin	btn[env]	0.211647789502467
1	577	biotin	btn[env]	0.211647789502467
20	577	biotin	btn[env]	0.211647789502467
21	577	biotin	btn[env]	0.211647789502467
22	577	biotin	btn[env]	0.211647789502467
23	577	biotin	btn[env]	0.211647789502467
24	577	biotin	btn[env]	0.211647789502467
25	577	biotin	btn[env]	0.211647789502467
26	577	biotin	btn[env]	0.211647789502467
27	577	biotin	btn[env]	0.211647789502467
28	577	biotin	btn[env]	0.211647789502467
29	577	biotin	btn[env]	0.211647789502467
2	577	biotin	btn[env]	0.211647789502467
30	577	biotin	btn[env]	0.211647789502467
31	577	biotin	btn[env]	0.211647789502467
32	577	biotin	btn[env]	0.211647789502467
33	577	biotin	btn[env]	0.211647789502467
34	577	biotin	btn[env]	0.211647789502467
35	577	biotin	btn[env]	0.211647789502467
36	577	biotin	btn[env]	0.211647789502467
37	577	biotin	btn[env]	0.211647789502467
38	577	biotin	btn[env]	0.211647789502467
39	577	biotin	btn[env]	0.211647789502467
3	577	biotin	btn[env]	0.211647789502467
40	577	biotin	btn[env]	0.211647789502467
41	577	biotin	btn[env]	0.211647789502467
42	577	biotin	btn[env]	0.211647789502467
43	577	biotin	btn[env]	0.211647789502467
44	577	biotin	btn[env]	0.211647789502467
45	577	biotin	btn[env]	0.211647789502467
46	577	biotin	btn[env]	0.211647789502467
47	577	biotin	btn[env]	0.211647789502467
48	577	biotin	btn[env]	0.211647789502467
49	577	biotin	btn[env]	0.211647789502467
4	577	biotin	btn[env]	0.211647789502467
50	577	biotin	btn[env]	0.211647789502467
51	577	biotin	btn[env]	0.211647789502467
52	577	biotin	btn[env]	0.211647789502467
53	577	biotin	btn[env]	0.211647789502467
54	577	biotin	btn[env]	0.211647789502467
55	577	biotin	btn[env]	0.211647789502467
56	577	biotin	btn[env]	0.211647789502467
57	577	biotin	btn[env]	0.211647789502467
58	577	biotin	btn[env]	0.211647789502467
59	577	biotin	btn[env]	0.211647789502467
5	577	biotin	btn[env]	0.211647789502467
60	577	biotin	btn[env]	0.211647789502467
61	577	biotin	btn[env]	0.211647789502467
6	577	biotin	btn[env]	0.211647789502467
7	577	biotin	btn[env]	0.211647789502467
8	577	biotin	btn[env]	0.211647789502467
9	577	biotin	btn[env]	0.211647789502467
10	577	butyrate	but[env]	3.74173942792821
11	577	butyrate	but[env]	3.81641949371124
12	577	butyrate	but[env]	3.93229935700715
13	577	butyrate	but[env]	4.04588703459311
14	577	butyrate	but[env]	3.46518816670792
15	577	butyrate	but[env]	3.46987922439248
16	577	butyrate	but[env]	3.4777511187015
17	577	butyrate	but[env]	3.48466189601795
18	577	butyrate	but[env]	3.4954789047824
19	577	butyrate	but[env]	3.50713850317781
1	577	butyrate	but[env]	3.46416297138049
20	577	butyrate	but[env]	3.52333690553182
21	577	butyrate	but[env]	3.56669887456969
22	577	butyrate	but[env]	3.61457924991176
23	577	butyrate	but[env]	3.64980955207615
24	577	butyrate	but[env]	3.70044400785474
25	577	butyrate	but[env]	3.74615239847104
26	577	butyrate	but[env]	3.44053312662004
27	577	butyrate	but[env]	3.42464600938596
28	577	butyrate	but[env]	3.40573558118705
29	577	butyrate	but[env]	3.3919205271873
2	577	butyrate	but[env]	4.30224763113262
30	577	butyrate	but[env]	3.37195596573099
31	577	butyrate	but[env]	3.35182937019038
32	577	butyrate	but[env]	3.34711078600512
33	577	butyrate	but[env]	3.26207653947793
34	577	butyrate	but[env]	3.16846387134679
35	577	butyrate	but[env]	3.10097386215027
36	577	butyrate	but[env]	3.00701478484262
37	577	butyrate	but[env]	2.92813421701284
38	577	butyrate	but[env]	3.37838952787672
39	577	butyrate	but[env]	3.32701800823643
