ModelAGORA	Organism	CopyNum
Bifidobacterium_longum_NCC2705	Bifidobacterium longum NCC2705	4
Bifidobacterium_longum_infantis_157F_NC	Bifidobacterium longum infantis 157F-NC	4
Bifidobacterium_longum_infantis_ATCC_15697	Bifidobacterium longum infantis ATCC 15697	1
Bifidobacterium_longum_longum_ATCC_55813	Bifidobacterium longum longum ATCC 55813	1
Bifidobacterium_longum_longum_BBMN68	Bifidobacterium longum longum BBMN68	3
Bifidobacterium_longum_longum_CCUG_52486	Bifidobacterium longum longum CCUG 52486	1
Bifidobacterium_longum_longum_JCM_1217	Bifidobacterium longum longum JCM 1217	4
Bifidobacterium_longum_longum_JDM301	Bifidobacterium longum longum JDM301	3
Bifidobacterium_mongoliense_DSM_21395	Bifidobacterium mongoliense DSM 21395	1
Bifidobacterium_pseudocatenulatum_DSM_20438	Bifidobacterium pseudocatenulatum DSM 20438	7
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099	Bifidobacterium pseudolongum subsp. Pseudolongum DSM 20099	1
Bifidobacterium_ruminantium_DSM_6489	Bifidobacterium ruminantium DSM 6489	0
Bifidobacterium_scardovii_JCM_12489	Bifidobacterium scardovii JCM 12489 = DSM 13734	1
Bifidobacterium_stercoris_DSM_24849	Bifidobacterium stercoris ATCC 43183	10
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837	1
Bifidobacterium_thermophilum_RBL67	Bifidobacterium thermophilum RBL67	4
Bilophila_wadsworthia_3_1_6	Bilophila wadsworthia 3_1_6	4
Blastococcus_massiliensis_AP3	Blastococcus massiliensis AP3	1
Blautia_hansenii_VPI_C7_24_DSM_20583	Blautia hansenii VPI C7-24, DSM 20583	2
Blautia_hydrogenotrophica_DSM_10507	Blautia hydrogenotrophica DSM 10507	1
Blautia_obeum_ATCC_29174	Blautia obeum ATCC 29174	4
Blautia_producta_DSM_2950	Blautia producta DSM 2950	2
Blautia_wexlerae_DSM_19850	Blautia wexlerae DSM 19850	1
Bordetella_hinzii_OH87_BAL007II	Bordetella hinzii OH87 BAL007II	3
Brachybacterium_paraconglomeratum_LC44	Brachybacterium paraconglomeratum LC44	4
Brachyspira_pilosicoli_B2904	Brachyspira pilosicoli B2904	1
Bradyrhizobium_elkanii_USDA_76	Bradyrhizobium elkanii USDA 76	1
Bradyrhizobium_japonicum_USDA_6	Bradyrhizobium japonicum USDA 6	2
Brevibacillus_agri_5_2	Brevibacillus agri 5-2	4
Brevibacillus_agri_BAB_2500	Brevibacillus agri BAB-2500	8
Brevibacillus_borstelensis_AK1	Brevibacillus borstelensis AK1	11
Brevibacillus_brevis_NBRC_100599	Brevibacillus brevis NBRC 100599	15
Brevibacterium_casei_S18	Brevibacterium casei S18	2
Brevibacterium_linens_BL2	Brevibacterium linens BL2	3
Brevibacterium_massiliense_5401308	Brevibacterium massiliense 5401308	1
Brevundimonas_bacteroides_DSM_4726	Brevundimonas bacteroides DSM 4726	1
Brevundimonas_diminuta_470_4	Brevundimonas diminuta 470-4	2
Brochothrix_thermosphacta_DSM_20171	Brochothrix thermosphacta DSM 20171 = FSL F6-1036	7
Bulleidia_extructa_W1219	Bulleidia extructa W1219	1
Burkholderia_cepacia_GG4	Burkholderia cepacia GG4	2
Burkholderiales_bacterium_1_1_47	Burkholderiales bacterium 1_1_47	5
Butyricicoccus_pullicaecorum_1_2	Butyricicoccus pullicaecorum 1.2	4
Butyricimonas_synergistica_DSM_23225	Butyricimonas synergistica DSM 23225	3
Butyricimonas_virosa_DSM_23226	Butyricimonas virosa DSM 23226	3
Butyrivibrio_crossotus_DSM_2876	Butyrivibrio crossotus DSM 2876	5
Butyrivibrio_fibrisolvens_16_4	Butyrivibrio fibrisolvens 16/4	0
Campylobacter_coli_JV20	Campylobacter coli JV20	1
Campylobacter_concisus_13826	Campylobacter concisus 13826	3
Campylobacter_curvus_525_92	Campylobacter curvus 525.92	3
Campylobacter_fetus_subsp_fetus_82_40	Campylobacter fetus subsp. fetus 82-40	3
Campylobacter_gracilis_RM3268	Campylobacter gracilis RM3268	1
Campylobacter_hominis_ATCC_BAA_381	Campylobacter hominis ATCC BAA-381	3
Campylobacter_hyointestinalis_subsp_hyointestinalis_LMG_9260	Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260	3
Campylobacter_jejuni_jejuni_81_176	Campylobacter jejuni jejuni 81-176	NA
Campylobacter_jejuni_jejuni_ICDCCJ07004	Campylobacter jejuni jejuni ICDCCJ07004	2
Campylobacter_jejuni_jejuni_M1	Campylobacter jejuni jejuni M1	3
Campylobacter_jejuni_jejuni_NCTC_11168	Campylobacter jejuni jejuni NCTC 11168	3
Campylobacter_lari_RM2100	Campylobacter lari RM2100	3
Campylobacter_rectus_RM3267	Campylobacter rectus RM3267	1
Campylobacter_showae_CSUNSWCD	Campylobacter showae CSUNSWCD	1
Campylobacter_upsaliensis_JV21	Campylobacter upsaliensis JV21	1
Candidatus_Nitrososphaera_gargensis_Ga9_2	Candidatus Nitrososphaera gargensis Ga9.2	1
Capnocytophaga_granulosa_ATCC_51502	Capnocytophaga granulosa ATCC 51502	1
Capnocytophaga_ochracea_DSM_7271	Capnocytophaga ochracea DSM 7271	4
Capnocytophaga_sputigena_ATCC_33612	Capnocytophaga sputigena ATCC 33612	1
Catenibacterium_mitsuokai_DSM_15897	Catenibacterium mitsuokai DSM 15897	1
Cedecea_davisae_DSM_4568	Cedecea davisae DSM 4568	1
Cellulosilyticum_lentocellum_DSM_5427	Cellulosilyticum lentocellum DSM 5427	11
Cellulosimicrobium_cellulans_J36	Cellulosimicrobium cellulans J36	1
Cetobacterium_somerae_ATCC_BAA_47401	Cetobacterium somerae ATCC BAA-47401	1
Citrobacter_amalonaticus_Y19	Citrobacter amalonaticus Y19	7
Citrobacter_freundii_ATCC_8090	Citrobacter freundii ATCC 8090 = MTCC 1658	2
Citrobacter_freundii_UCI_31	Citrobacter freundii UCI 31	8
Citrobacter_koseri_ATCC_BAA_895	Citrobacter koseri ATCC BAA-895	7
Citrobacter_sp_30_2	Citrobacter sp. 30_2	NA
Citrobacter_youngae_ATCC_29220	Citrobacter youngae ATCC 29220	4
Cloacibacillus_evryensis_DSM_19522	Cloacibacillus evryensis DSM 19522	5
Clostridiales_sp_1_7_47FAA	Clostridiales sp. 1_7_47FAA	1
Clostridium_acetobutylicum_ATCC_824	Clostridium acetobutylicum ATCC 824	0
Clostridium_asparagiforme_DSM_15981	Clostridium asparagiforme DSM 15981	1
Clostridium_bartlettii_DSM_16795	Clostridium bartlettii DSM 16795	6
Clostridium_beijerinckii_NCIMB_8052	Clostridium beijerinckii NCIMB 8052	14
Clostridium_bifermentans_ATCC_19299	Clostridium bifermentans ATCC 19299	12
Clostridium_bolteae_ATCC_BAA_613	Clostridium bolteae ATCC BAA-613	2
Clostridium_botulinum_A_str_ATCC_19397	Clostridium botulinum A str. ATCC 19397	8
